Peak;RT;Area;Area_%;Area_Sum_%;Height;Width;FWHM;Compuestos_interes;etiqueta;concentracion_eugenol;concentracion_ppm
57             ;20.570         ;  247084.03    ;  1.35         ; 0.36          ; 170936.46     ;0.040          ;0.030          ;VANILLIN       ;Ca-2           ;NA             ; 0.00976803    
 3             ;10.480         ;  637781.65    ;  4.51         ; 0.84          ; 282760.08     ;0.083          ;0.044          ;FURFURAL       ;Ca-20          ;NA             ; 0.40046565    
 6             ;11.959         ;  394418.30    ;  2.79         ; 0.52          ;  89311.53     ;0.137          ;0.064          ;5METHYLFURFURAL;Ca-20          ;NA             ; 0.15710230    
 9             ;10.431         ; 5199871.67    ; 67.84         ; 9.44          ;1219836.91     ;0.160          ;0.068          ;FURFURAL       ;Ca-21          ;NA             ; 4.96255567    
16             ;11.971         ;  533315.86    ;  6.96         ; 0.97          ; 151425.40     ;0.133          ;0.054          ;5METHYLFURFURAL;Ca-21          ;NA             ; 0.29599986    
65             ;20.563         ; 1352634.26    ; 17.65         ; 2.45          ; 588785.74     ;0.065          ;0.035          ;VANILLIN       ;Ca-21          ;NA             ; 1.11531826    
 7             ;10.440         ; 5120713.97    ; 62.35         ; 9.25          ;1266675.12     ;0.140          ;0.070          ;FURFURAL       ;Ca-22          ;NA             ; 4.88339797    
14             ;11.970         ;  400985.86    ;  4.88         ; 0.72          ; 121268.91     ;0.110          ;0.050          ;5METHYLFURFURAL;Ca-22          ;NA             ; 0.16366986    
63             ;20.570         ;  531344.28    ;  6.47         ; 0.96          ; 366711.19     ;0.040          ;0.020          ;VANILLIN       ;Ca-22          ;NA             ; 0.29402828    
 5             ;10.480         ; 2199991.85    ;  5.00         ; 2.25          ; 448848.73     ;0.243          ;0.094          ;FURFURAL       ;Ca-23          ;NA             ; 1.96267585    
 7             ;11.974         ;  147740.65    ;  0.34         ; 0.15          ;  60043.99     ;0.118          ;0.040          ;5METHYLFURFURAL;Ca-23          ;NA             ;-0.08957535    
 7             ;10.495         ; 2942367.92    ;  4.25         ; 2.33          ; 699851.05     ;0.175          ;0.064          ;FURFURAL       ;Ca-24          ;NA             ; 2.70505192    
12             ;12.001         ;  104236.43    ;  0.15         ; 0.08          ;  51028.55     ;0.060          ;0.035          ;5METHYLFURFURAL;Ca-24          ;NA             ;-0.13307957    
52             ;20.582         ;  419055.01    ;  0.61         ; 0.33          ; 289916.33     ;0.047          ;0.024          ;VANILLIN       ;Ca-24          ;NA             ; 0.18173901    
 7             ;10.370         ; 5729960.27    ;100.00         ;13.66          ;1233505.36     ;0.150          ;0.080          ;FURFURAL       ;Ca-25          ;NA             ; 5.49264427    
12             ;11.910         ; 1097742.00    ; 19.16         ; 2.62          ; 196103.73     ;0.310          ;0.070          ;5METHYLFURFURAL;Ca-25          ;NA             ; 0.86042600    
 2             ;10.389         ; 4528314.35    ; 70.58         ;12.76          ; 919948.57     ;0.177          ;0.080          ;FURFURAL       ;Ca-26          ;NA             ; 4.29099835    
 7             ;11.921         ;  478700.96    ;  7.46         ; 1.35          ; 112775.12     ;0.163          ;0.064          ;5METHYLFURFURAL;Ca-26          ;NA             ; 0.24138496    
43             ;20.532         ;  921609.56    ; 14.37         ; 2.60          ; 335995.58     ;0.072          ;0.046          ;VANILLIN       ;Ca-26          ;NA             ; 0.68429356    
 9             ;10.495         ; 3073624.36    ;  2.95         ; 1.44          ; 824637.66     ;0.175          ;0.060          ;FURFURAL       ;Ca-27          ;NA             ; 2.83630836    
15             ;12.016         ;  242931.25    ;  0.23         ; 0.11          ;  91583.37     ;0.117          ;0.042          ;5METHYLFURFURAL;Ca-27          ;NA             ; 0.00561525    
34             ;20.582         ; 1102765.44    ;  1.06         ; 0.52          ; 540535.37     ;0.072          ;0.028          ;VANILLIN       ;Ca-27          ;NA             ; 0.86544944    
 5             ;10.396         ; 4197128.83    ; 64.13         ;11.80          ; 857056.16     ;0.163          ;0.080          ;FURFURAL       ;Ca-28          ;NA             ; 3.95981283    
11             ;11.929         ;  462627.86    ;  7.07         ; 1.30          ; 101382.56     ;0.171          ;0.066          ;5METHYLFURFURAL;Ca-28          ;NA             ; 0.22531186    
54             ;20.529         ; 1236484.53    ; 18.89         ; 3.48          ; 467045.89     ;0.072          ;0.042          ;VANILLIN       ;Ca-28          ;NA             ; 0.99916853    
 6             ;10.389         ; 5864335.43    ; 76.45         ;12.64          ;1202474.70     ;0.172          ;0.080          ;FURFURAL       ;Ca-29          ;NA             ; 5.62701943    
12             ;11.921         ;  645981.20    ;  8.42         ; 1.39          ; 147773.37     ;0.171          ;0.063          ;5METHYLFURFURAL;Ca-29          ;NA             ; 0.40866520    
53             ;20.529         ; 1413501.09    ; 18.43         ; 3.05          ; 533461.83     ;0.068          ;0.044          ;VANILLIN       ;Ca-29          ;NA             ; 1.17618509    
 5             ;10.450         ; 5564125.36    ; 32.25         ; 9.43          ;1371983.53     ;0.144          ;0.066          ;FURFURAL       ;Ca-3           ;NA             ; 5.32680936    
11             ;11.978         ;  435873.49    ;  2.53         ; 0.74          ; 124449.16     ;0.114          ;0.055          ;5METHYLFURFURAL;Ca-3           ;NA             ; 0.19855749    
55             ;20.574         ; 1144204.33    ;  6.63         ; 1.94          ; 410079.72     ;0.099          ;0.036          ;VANILLIN       ;Ca-3           ;NA             ; 0.90688833    
 6             ;10.393         ; 8614554.25    ; 93.56         ;12.85          ;1746704.58     ;0.194          ;0.078          ;FURFURAL       ;Ca-30          ;NA             ; 8.37723825    
13             ;11.921         ; 1109204.19    ; 12.05         ; 1.65          ; 225283.17     ;0.261          ;0.057          ;5METHYLFURFURAL;Ca-30          ;NA             ; 0.87188819    
64             ;20.525         ; 1080253.69    ; 11.73         ; 1.61          ; 577880.65     ;0.062          ;0.031          ;VANILLIN       ;Ca-30          ;NA             ; 0.84293769    
 5             ;10.526         ; 2967404.13    ;  7.68         ; 3.15          ; 684544.62     ;0.203          ;0.064          ;FURFURAL       ;Ca-4           ;NA             ; 2.73008813    
12             ;12.008         ;  224043.68    ;  0.58         ; 0.24          ;  70275.26     ;0.106          ;0.048          ;5METHYLFURFURAL;Ca-4           ;NA             ;-0.01327232    
38             ;20.578         ;  648885.82    ;  1.68         ; 0.69          ; 242067.78     ;0.122          ;0.033          ;VANILLIN       ;Ca-4           ;NA             ; 0.41156982    
 7             ;11.440         ;   92865.47    ;  0.74         ; 0.14          ;  40008.97     ;0.090          ;0.030          ;FURFURAL       ;Ca-5           ;NA             ;-0.14445053    
 7             ;10.473         ; 5551948.32    ;  5.83         ; 3.37          ;1375431.79     ;0.171          ;0.066          ;FURFURAL       ;Ca-6           ;NA             ; 5.31463232    
14             ;11.997         ;  402581.57    ;  0.42         ; 0.24          ; 149831.89     ;0.106          ;0.042          ;5METHYLFURFURAL;Ca-6           ;NA             ; 0.16526557    
33             ;18.312         ;  135215.15    ;  0.14         ; 0.08          ;  62522.48     ;0.137          ;0.026          ;EUGENOL        ;Ca-6           ;-0.10210085    ;-0.10210085    
45             ;20.582         ; 1414314.95    ;  1.48         ; 0.86          ; 617298.24     ;0.099          ;0.028          ;VANILLIN       ;Ca-6           ;NA             ; 1.17699895    
 9             ;10.499         ; 3419490.10    ;  3.60         ; 1.77          ; 871558.20     ;0.175          ;0.062          ;FURFURAL       ;Ca-7           ;NA             ; 3.18217410    
15             ;12.012         ;  269708.46    ;  0.28         ; 0.14          ;  98515.52     ;0.103          ;0.043          ;5METHYLFURFURAL;Ca-7           ;NA             ; 0.03239246    
28             ;18.316         ;  104827.02    ;  0.11         ; 0.05          ;  55303.02     ;0.076          ;0.027          ;EUGENOL        ;Ca-7           ;-0.13248898    ;-0.13248898    
37             ;20.586         ;  480111.74    ;  0.51         ; 0.25          ; 328465.18     ;0.053          ;0.023          ;VANILLIN       ;Ca-7           ;NA             ; 0.24279574    
 6             ;10.420         ; 2019427.34    ; 17.77         ; 3.71          ; 343366.30     ;0.220          ;0.090          ;FURFURAL       ;Ca-8           ;NA             ; 1.78211134    
 6             ;10.430         ; 6684338.08    ; 83.01         ;10.44          ;1601434.18     ;0.150          ;0.070          ;FURFURAL       ;Ca-9           ;NA             ; 6.44702208    
13             ;11.970         ;  602634.63    ;  7.48         ; 0.94          ; 181778.82     ;0.120          ;0.050          ;5METHYLFURFURAL;Ca-9           ;NA             ; 0.36531863    
 5             ;10.507         ; 1060111.43    ;  1.03         ; 0.64          ; 268618.15     ;0.160          ;0.061          ;FURFURAL       ;Ce-1           ;NA             ; 0.82279543    
10             ;12.005         ;  164395.92    ;  0.16         ; 0.10          ;  65505.31     ;0.093          ;0.039          ;5METHYLFURFURAL;Ce-1           ;NA             ;-0.07292008    
32             ;20.582         ;  786058.72    ;  0.77         ; 0.47          ; 231945.13     ;0.144          ;0.084          ;VANILLIN       ;Ce-1           ;NA             ; 0.54874272    
10             ;10.488         ;  580997.07    ;  0.73         ; 0.32          ; 166059.18     ;0.133          ;0.055          ;FURFURAL       ;Ce-10          ;NA             ; 0.34368107    
16             ;12.012         ;  158012.36    ;  0.20         ; 0.09          ;  58775.33     ;0.110          ;0.040          ;5METHYLFURFURAL;Ce-10          ;NA             ;-0.07930364    
40             ;20.586         ;  237191.55    ;  0.30         ; 0.13          ; 168799.26     ;0.049          ;0.023          ;VANILLIN       ;Ce-10          ;NA             ;-0.00012445    
 2             ;10.435         ;  582881.78    ;  6.74         ; 1.18          ;  72749.48     ;0.198          ;0.146          ;FURFURAL       ;Ce-11          ;NA             ; 0.34556578    
 6             ;10.400         ; 1316251.52    ; 26.79         ; 3.57          ; 297446.30     ;0.131          ;0.074          ;FURFURAL       ;Ce-12          ;NA             ; 1.07893552    
12             ;11.944         ;  304365.24    ;  6.20         ; 0.83          ;  74784.98     ;0.114          ;0.065          ;5METHYLFURFURAL;Ce-12          ;NA             ; 0.06704924    
 7             ;10.404         ; 1045837.93    ; 19.24         ; 2.62          ; 197331.01     ;0.173          ;0.083          ;FURFURAL       ;Ce-14          ;NA             ; 0.80852193    
 3             ;10.408         ; 1184728.20    ; 24.65         ; 4.53          ; 254320.24     ;0.137          ;0.080          ;FURFURAL       ;Ce-15          ;NA             ; 0.94741220    
 8             ;10.420         ; 1357459.41    ; 25.09         ; 3.11          ; 318949.98     ;0.140          ;0.070          ;FURFURAL       ;Ce-16          ;NA             ; 1.12014341    
16             ;11.960         ;  268937.42    ;  4.97         ; 0.62          ;  79195.46     ;0.130          ;0.050          ;5METHYLFURFURAL;Ce-16          ;NA             ; 0.03162142    
65             ;20.560         ;  384428.86    ;  7.10         ; 0.88          ; 197396.36     ;0.090          ;0.030          ;VANILLIN       ;Ce-16          ;NA             ; 0.14711286    
 5             ;10.434         ;  373137.07    ;  5.50         ; 1.01          ;  51214.62     ;0.201          ;0.127          ;FURFURAL       ;Ce-17          ;NA             ; 0.13582107    
 7             ;11.868         ;  504893.83    ;  7.44         ; 1.36          ;  90533.96     ;0.144          ;0.111          ;5METHYLFURFURAL;Ce-17          ;NA             ; 0.26757783    
 6             ;10.427         ;  509675.41    ;  9.54         ; 1.71          ; 103649.09     ;0.158          ;0.080          ;FURFURAL       ;Ce-18          ;NA             ; 0.27235941    
11             ;11.952         ;   74610.67    ;  1.40         ; 0.25          ;  20864.29     ;0.114          ;0.059          ;5METHYLFURFURAL;Ce-18          ;NA             ;-0.16270533    
 7             ;10.393         ; 1111320.36    ; 21.47         ; 2.85          ; 235303.38     ;0.143          ;0.080          ;FURFURAL       ;Ce-19          ;NA             ; 0.87400436    
11             ;11.944         ;  405479.38    ;  7.83         ; 1.04          ;  89108.38     ;0.122          ;0.078          ;5METHYLFURFURAL;Ce-19          ;NA             ; 0.16816338    
 8             ;10.450         ;  511860.57    ;  4.93         ; 1.11          ; 122156.40     ;0.160          ;0.070          ;FURFURAL       ;Ce-2           ;NA             ; 0.27454457    
16             ;11.980         ;  152253.82    ;  1.47         ; 0.33          ;  50042.78     ;0.100          ;0.050          ;5METHYLFURFURAL;Ce-2           ;NA             ;-0.08506218    
 4             ;10.457         ;  226604.98    ;  3.37         ; 0.71          ;  38852.61     ;0.172          ;0.108          ;FURFURAL       ;Ce-20          ;NA             ;-0.01071102    
 5             ;10.514         ;  718817.86    ;  0.60         ; 0.40          ; 135200.66     ;0.316          ;0.070          ;FURFURAL       ;Ce-21          ;NA             ; 0.48150186    
 6             ;10.423         ; 1025718.88    ; 22.71         ; 3.07          ; 216131.80     ;0.155          ;0.074          ;FURFURAL       ;Ce-22          ;NA             ; 0.78840288    
10             ;11.944         ;  203602.25    ;  4.51         ; 0.61          ;  47951.92     ;0.133          ;0.066          ;5METHYLFURFURAL;Ce-22          ;NA             ;-0.03371375    
 6             ;10.397         ;  683479.33    ; 15.91         ; 2.38          ; 155679.88     ;0.145          ;0.071          ;FURFURAL       ;Ce-23          ;NA             ; 0.44616333    
11             ;11.933         ;  325278.34    ;  7.57         ; 1.13          ;  65732.79     ;0.129          ;0.080          ;5METHYLFURFURAL;Ce-23          ;NA             ; 0.08796234    
 6             ;10.457         ;  129170.93    ;  1.90         ; 0.38          ;  27833.83     ;0.160          ;0.088          ;FURFURAL       ;Ce-24          ;NA             ;-0.10814507    
 5             ;10.461         ;  251722.68    ;  3.82         ; 0.81          ;  51495.74     ;0.162          ;0.076          ;FURFURAL       ;Ce-25          ;NA             ; 0.01440668    
 5             ;10.380         ;  677771.13    ; 13.27         ; 2.78          ; 157543.00     ;0.120          ;0.070          ;FURFURAL       ;Ce-26          ;NA             ; 0.44045513    
 9             ;11.910         ;  212021.45    ;  4.15         ; 0.87          ;  42176.32     ;0.140          ;0.090          ;5METHYLFURFURAL;Ce-26          ;NA             ;-0.02529455    
53             ;20.520         ;  225942.90    ;  4.42         ; 0.93          ; 100846.55     ;0.080          ;0.030          ;VANILLIN       ;Ce-26          ;NA             ;-0.01137310    
 5             ;10.389         ; 1051381.75    ; 16.67         ; 2.93          ; 220641.29     ;0.144          ;0.080          ;FURFURAL       ;Ce-27          ;NA             ; 0.81406575    
 9             ;11.929         ;  248472.17    ;  3.94         ; 0.69          ;  54682.34     ;0.133          ;0.077          ;5METHYLFURFURAL;Ce-27          ;NA             ; 0.01115617    
47             ;20.529         ;  365527.26    ;  5.80         ; 1.02          ; 136119.68     ;0.076          ;0.048          ;VANILLIN       ;Ce-27          ;NA             ; 0.12821126    
 1             ;10.370         ;  457095.19    ;  3.53         ; 0.98          ; 140406.34     ;0.100          ;0.050          ;FURFURAL       ;Ce-28          ;NA             ; 0.21977919    
 6             ;10.400         ;  876213.30    ;  8.82         ; 1.82          ; 178413.82     ;0.177          ;0.075          ;FURFURAL       ;Ce-29          ;NA             ; 0.63889730    
