Peak;RT;Area;Area_%;Area_Sum_%;Height;Width;FWHM;Compuestos_interes;etiqueta;concentracion_eugenol;concentracion_ppm
 6             ;10.549         ;  987424.47    ;  0.90         ; 0.51          ; 246018.69     ;0.209          ;0.075          ;FURFURAL       ;E-20           ;NA             ; 0.75010847    
 9             ;12.028         ;  506160.38    ;  0.46         ; 0.26          ; 140354.58     ;0.122          ;0.053          ;5METHYLFURFURAL;E-20           ;NA             ; 0.26884438    
 6             ;10.370         ; 2381086.79    ; 48.80         ; 5.48          ; 514078.40     ;0.140          ;0.080          ;FURFURAL       ;E-21           ;NA             ; 2.14377079    
12             ;11.900         ; 2059109.79    ; 42.20         ; 4.74          ; 448302.24     ;0.300          ;0.060          ;5METHYLFURFURAL;E-21           ;NA             ; 1.82179379    
52             ;20.510         ;  359436.78    ;  7.37         ; 0.83          ; 153001.99     ;0.060          ;0.040          ;VANILLIN       ;E-21           ;NA             ; 0.12212078    
 6             ;10.416         ; 2557408.48    ; 48.17         ; 5.41          ; 526987.52     ;0.188          ;0.077          ;FURFURAL       ;E-22           ;NA             ; 2.32009248    
10             ;11.940         ;  790664.67    ; 14.89         ; 1.67          ; 221655.10     ;0.116          ;0.058          ;5METHYLFURFURAL;E-22           ;NA             ; 0.55334867    
 2             ;10.360         ; 9428943.41    ; 74.76         ;13.30          ; 823717.59     ;0.670          ;0.130          ;FURFURAL       ;E-23           ;NA             ; 9.19162741    
 7             ;11.940         ; 1519878.32    ; 12.05         ; 2.14          ; 186740.67     ;0.190          ;0.150          ;5METHYLFURFURAL;E-23           ;NA             ; 1.28256232    
40             ;20.510         ;  447215.37    ;  3.55         ; 0.63          ; 141019.30     ;0.110          ;0.050          ;VANILLIN       ;E-23           ;NA             ; 0.20989937    
 2             ;10.340         ; 1373558.49    ; 15.54         ; 3.14          ; 192290.50     ;0.280          ;0.100          ;FURFURAL       ;E-24           ;NA             ; 1.13624249    
 9             ;10.420         ; 4146889.75    ; 57.54         ; 6.18          ; 998090.23     ;0.150          ;0.070          ;FURFURAL       ;E-25           ;NA             ; 3.90957375    
15             ;11.960         ; 2526303.70    ; 35.05         ; 3.77          ; 706337.41     ;0.150          ;0.060          ;5METHYLFURFURAL;E-25           ;NA             ; 2.28898770    
67             ;20.560         ; 1325676.71    ; 18.39         ; 1.98          ; 466106.59     ;0.080          ;0.040          ;VANILLIN       ;E-25           ;NA             ; 1.08836071    
 5             ;10.442         ;  440444.38    ;  8.02         ; 1.51          ;  92111.17     ;0.163          ;0.077          ;FURFURAL       ;E-26           ;NA             ; 0.20312838    
 9             ;11.944         ;  334378.19    ;  6.09         ; 1.15          ;  68408.02     ;0.156          ;0.071          ;5METHYLFURFURAL;E-26           ;NA             ; 0.09706219    
 7             ;10.393         ; 5327199.29    ;100.00         ;11.59          ;1014927.59     ;0.163          ;0.086          ;FURFURAL       ;E-27           ;NA             ; 5.08988329    
12             ;11.933         ; 2660908.39    ; 49.95         ; 5.79          ; 531640.22     ;0.308          ;0.069          ;5METHYLFURFURAL;E-27           ;NA             ; 2.42359239    
47             ;20.533         ;  569918.20    ; 10.70         ; 1.24          ; 219038.80     ;0.114          ;0.042          ;VANILLIN       ;E-27           ;NA             ; 0.33260220    
 4             ;10.530         ;  678874.57    ;  2.04         ; 0.67          ; 116976.92     ;0.182          ;0.084          ;FURFURAL       ;E-28           ;NA             ; 0.44155857    
 4             ;10.442         ;  963599.32    ; 16.83         ; 3.02          ; 145406.16     ;0.236          ;0.105          ;FURFURAL       ;E-29           ;NA             ; 0.72628332    
 8             ;10.427         ; 5474126.34    ; 36.69         ; 8.26          ; 827506.98     ;0.272          ;0.102          ;FURFURAL       ;E-3            ;NA             ; 5.23681034    
12             ;11.925         ;  695522.65    ;  4.66         ; 1.05          ; 124884.17     ;0.179          ;0.086          ;5METHYLFURFURAL;E-3            ;NA             ; 0.45820665    
 2             ;10.476         ; 4377107.84    ;  6.16         ; 2.96          ; 769333.72     ;0.277          ;0.083          ;FURFURAL       ;E-30           ;NA             ; 4.13979184    
 7             ;11.997         ;  266297.59    ;  0.37         ; 0.18          ; 135215.74     ;0.056          ;0.035          ;5METHYLFURFURAL;E-30           ;NA             ; 0.02898159    
48             ;20.578         ;  709331.41    ;  1.00         ; 0.48          ; 410351.42     ;0.063          ;0.028          ;VANILLIN       ;E-30           ;NA             ; 0.47201541    
 7             ;10.430         ;20222810.16    ; 54.99         ;15.96          ;4751548.66     ;0.170          ;0.070          ;FURFURAL       ;E-4            ;NA             ;19.98549416    
14             ;11.960         ; 2908051.52    ;  7.91         ; 2.29          ; 840383.97     ;0.130          ;0.050          ;5METHYLFURFURAL;E-4            ;NA             ; 2.67073552    
62             ;20.560         ; 1210141.51    ;  3.29         ; 0.95          ; 519025.43     ;0.080          ;0.030          ;VANILLIN       ;E-4            ;NA             ; 0.97282551    
 7             ;10.461         ; 1815326.27    ;  4.83         ; 1.84          ; 442484.91     ;0.125          ;0.067          ;FURFURAL       ;E-5            ;NA             ; 1.57801027    
14             ;11.982         ;  711809.01    ;  1.89         ; 0.72          ; 218726.57     ;0.129          ;0.049          ;5METHYLFURFURAL;E-5            ;NA             ; 0.47449301    
56             ;20.582         ;  493602.66    ;  1.31         ; 0.50          ; 218966.65     ;0.107          ;0.030          ;VANILLIN       ;E-5            ;NA             ; 0.25628666    
 2             ;10.488         ; 3551094.82    ;  3.72         ; 2.15          ;1150868.87     ;0.175          ;0.042          ;FURFURAL       ;E-6            ;NA             ; 3.31377882    
 6             ;12.012         ;  685557.48    ;  0.72         ; 0.42          ; 239264.47     ;0.120          ;0.044          ;5METHYLFURFURAL;E-6            ;NA             ; 0.44824148    
 4             ;10.370         ; 2114892.82    ; 43.96         ; 5.85          ; 437033.35     ;0.180          ;0.080          ;FURFURAL       ;E-7            ;NA             ; 1.87757682    
 9             ;11.890         ; 1359161.51    ; 28.25         ; 3.76          ; 314196.47     ;0.240          ;0.060          ;5METHYLFURFURAL;E-7            ;NA             ; 1.12184551    
50             ;20.510         ;  364960.97    ;  7.59         ; 1.01          ; 189348.63     ;0.070          ;0.030          ;VANILLIN       ;E-7            ;NA             ; 0.12764497    
 8             ;10.440         ;11343651.47    ; 55.32         ;12.07          ;2563535.91     ;0.180          ;0.070          ;FURFURAL       ;E-8            ;NA             ;11.10633547    
16             ;11.970         ; 2461293.43    ; 12.00         ; 2.62          ; 686935.62     ;0.140          ;0.060          ;5METHYLFURFURAL;E-8            ;NA             ; 2.22397743    
 7             ;10.378         ;13636074.32    ; 64.69         ;14.96          ;2904815.18     ;0.167          ;0.076          ;FURFURAL       ;E-9            ;NA             ;13.39875832    
13             ;11.917         ; 3155702.72    ; 14.97         ; 3.46          ; 732531.72     ;0.270          ;0.058          ;5METHYLFURFURAL;E-9            ;NA             ; 2.91838672    
62             ;20.521         ; 1489624.90    ;  7.07         ; 1.63          ; 554814.31     ;0.072          ;0.043          ;VANILLIN       ;E-9            ;NA             ; 1.25230890    
 8             ;10.420         ; 2592909.75    ; 29.81         ; 4.01          ; 588767.38     ;0.140          ;0.070          ;FURFURAL       ;F-1            ;NA             ; 2.35559375    
14             ;11.960         ; 1949235.71    ; 22.41         ; 3.02          ; 438092.57     ;0.280          ;0.060          ;5METHYLFURFURAL;F-1            ;NA             ; 1.71191971    
65             ;20.560         ;  905333.67    ; 10.41         ; 1.40          ; 310333.37     ;0.080          ;0.050          ;VANILLIN       ;F-1            ;NA             ; 0.66801767    
 9             ;10.495         ; 2025277.35    ;  2.79         ; 1.05          ; 537383.51     ;0.164          ;0.060          ;FURFURAL       ;F-10           ;NA             ; 1.78796135    
16             ;12.012         ;  557919.35    ;  0.77         ; 0.29          ; 213977.35     ;0.110          ;0.039          ;5METHYLFURFURAL;F-10           ;NA             ; 0.32060335    
53             ;20.586         ;  193493.26    ;  0.27         ; 0.10          ; 181752.82     ;0.033          ;0.019          ;VANILLIN       ;F-10           ;NA             ;-0.04382274    
 5             ;10.450         ; 2933029.85    ; 39.43         ; 3.87          ; 673935.18     ;0.200          ;0.070          ;FURFURAL       ;F-11           ;NA             ; 2.69571385    
11             ;11.960         ; 2331819.08    ; 31.35         ; 3.08          ; 605734.59     ;0.170          ;0.060          ;5METHYLFURFURAL;F-11           ;NA             ; 2.09450308    
42             ;18.270         ;  191400.39    ;  2.57         ; 0.25          ;  51410.66     ;0.140          ;0.040          ;EUGENOL        ;F-11           ;-0.04591561    ;-0.04591561    
57             ;20.560         ; 1005270.02    ; 13.52         ; 1.33          ; 331268.80     ;0.080          ;0.050          ;VANILLIN       ;F-11           ;NA             ; 0.76795402    
 5             ;10.480         ;  726325.10    ;  7.56         ; 1.50          ; 101277.16     ;0.280          ;0.110          ;FURFURAL       ;F-12           ;NA             ; 0.48900910    
10             ;11.960         ;  459356.29    ;  4.78         ; 0.95          ;  87405.52     ;0.140          ;0.100          ;5METHYLFURFURAL;F-12           ;NA             ; 0.22204029    
11             ;12.070         ;  104711.14    ;  1.09         ; 0.22          ;  28221.97     ;0.100          ;0.090          ;EUGENOL        ;F-12           ;-0.13260486    ;-0.13260486    
 5             ;10.412         ; 3840822.89    ; 29.48         ; 4.73          ; 891125.23     ;0.165          ;0.068          ;FURFURAL       ;F-13           ;NA             ; 3.60350689    
11             ;11.948         ; 2589679.65    ; 19.88         ; 3.19          ; 666440.20     ;0.255          ;0.054          ;5METHYLFURFURAL;F-13           ;NA             ; 2.35236365    
61             ;20.540         ; 1135519.42    ;  8.72         ; 1.40          ; 466242.17     ;0.068          ;0.038          ;VANILLIN       ;F-13           ;NA             ; 0.89820342    
 6             ;10.480         ;  967121.88    ; 12.10         ; 1.81          ; 135031.52     ;0.220          ;0.120          ;FURFURAL       ;F-14           ;NA             ; 0.72980588    
10             ;11.920         ;  724602.33    ;  9.07         ; 1.36          ; 150362.62     ;0.110          ;0.080          ;5METHYLFURFURAL;F-14           ;NA             ; 0.48728633    
 6             ;10.503         ;  948318.43    ;  1.77         ; 0.79          ; 236776.07     ;0.151          ;0.063          ;FURFURAL       ;F-15           ;NA             ; 0.71100243    
13             ;11.997         ;  751195.57    ;  1.40         ; 0.63          ; 167212.68     ;0.266          ;0.050          ;5METHYLFURFURAL;F-15           ;NA             ; 0.51387957    
50             ;20.575         ;  919806.91    ;  1.71         ; 0.77          ; 270322.66     ;0.106          ;0.046          ;VANILLIN       ;F-15           ;NA             ; 0.68249091    
 7             ;10.518         ; 1099625.12    ;  6.46         ; 1.48          ; 208924.36     ;0.170          ;0.088          ;FURFURAL       ;F-16           ;NA             ; 0.86230912    
11             ;12.001         ;  942925.07    ;  5.54         ; 1.27          ; 195738.44     ;0.213          ;0.061          ;5METHYLFURFURAL;F-16           ;NA             ; 0.70560907    
53             ;20.574         ;  788174.94    ;  4.63         ; 1.06          ; 231988.26     ;0.156          ;0.037          ;VANILLIN       ;F-16           ;NA             ; 0.55085894    
 6             ;10.416         ; 2030617.48    ; 22.90         ; 3.42          ; 447526.88     ;0.166          ;0.072          ;FURFURAL       ;F-17           ;NA             ; 1.79330148    
13             ;11.948         ; 1114582.46    ; 12.57         ; 1.88          ; 284021.25     ;0.152          ;0.059          ;5METHYLFURFURAL;F-17           ;NA             ; 0.87726646    
58             ;20.540         ;  424253.27    ;  4.78         ; 0.71          ; 216764.39     ;0.061          ;0.033          ;VANILLIN       ;F-17           ;NA             ; 0.18693727    
 3             ;10.347         ;  596198.64    ;  7.86         ; 1.16          ; 178164.57     ;0.142          ;0.047          ;FURFURAL       ;F-18           ;NA             ; 0.35888264    
39             ;20.536         ;  880698.27    ; 11.61         ; 1.71          ; 210165.47     ;0.133          ;0.069          ;VANILLIN       ;F-18           ;NA             ; 0.64338227    
 3             ;10.460         ;  237520.84    ;  1.67         ; 0.32          ; 173283.53     ;0.040          ;0.020          ;FURFURAL       ;F-19           ;NA             ; 0.00020484    
 4             ;10.430         ; 4688453.18    ; 41.71         ; 5.07          ; 948950.85     ;0.220          ;0.080          ;FURFURAL       ;F-20           ;NA             ; 4.45113718    
 6             ;10.850         ;  761709.74    ;  6.78         ; 0.82          ; 112932.18     ;0.260          ;0.090          ;5METHYLFURFURAL;F-20           ;NA             ; 0.52439374    
 7             ;10.420         ; 3462295.16    ; 19.67         ; 3.91          ; 802479.08     ;0.130          ;0.070          ;FURFURAL       ;F-21           ;NA             ; 3.22497916    
14             ;11.960         ; 2544569.20    ; 14.45         ; 2.87          ; 682554.91     ;0.160          ;0.060          ;5METHYLFURFURAL;F-21           ;NA             ; 2.30725320    
67             ;20.560         ;  854735.63    ;  4.86         ; 0.96          ; 412985.06     ;0.070          ;0.030          ;VANILLIN       ;F-21           ;NA             ; 0.61741963    
 6             ;10.469         ;  651519.33    ;  9.10         ; 1.22          ; 103210.78     ;0.183          ;0.106          ;FURFURAL       ;F-22           ;NA             ; 0.41420333    
 8             ;11.917         ;  776523.10    ; 10.85         ; 1.45          ; 178426.38     ;0.190          ;0.068          ;5METHYLFURFURAL;F-22           ;NA             ; 0.53920710    
62             ;20.548         ;  996540.41    ; 13.92         ; 1.86          ; 280070.81     ;0.152          ;0.047          ;VANILLIN       ;F-22           ;NA             ; 0.75922441    
 6             ;10.416         ; 2645316.05    ; 24.75         ; 3.20          ; 586482.40     ;0.147          ;0.072          ;FURFURAL       ;F-23           ;NA             ; 2.40800005    
12             ;11.959         ; 2075439.09    ; 19.42         ; 2.51          ; 491948.65     ;0.253          ;0.060          ;5METHYLFURFURAL;F-23           ;NA             ; 1.83812309    
55             ;20.548         ; 1569391.53    ; 14.68         ; 1.90          ; 441021.09     ;0.076          ;0.073          ;VANILLIN       ;F-23           ;NA             ; 1.33207553    
 5             ;10.419         ;  662740.95    ;  8.82         ; 1.81          ;  96503.38     ;0.200          ;0.112          ;FURFURAL       ;F-24           ;NA             ; 0.42542495    
 9             ;11.849         ; 1043898.51    ; 13.90         ; 2.85          ; 147790.99     ;0.323          ;0.090          ;5METHYLFURFURAL;F-24           ;NA             ; 0.80658251    
38             ;20.536         ;  307679.81    ;  4.10         ; 0.84          ;  94612.74     ;0.087          ;0.059          ;VANILLIN       ;F-24           ;NA             ; 0.07036381    
 5             ;10.385         ; 1514365.41    ; 27.68         ; 3.46          ; 280680.21     ;0.207          ;0.082          ;FURFURAL       ;F-25           ;NA             ; 1.27704941    
11             ;11.917         ; 1792175.74    ; 32.76         ; 4.09          ; 371444.83     ;0.289          ;0.069          ;5METHYLFURFURAL;F-25           ;NA             ; 1.55485974    
49             ;20.525         ;  596179.49    ; 10.90         ; 1.36          ; 147092.27     ;0.110          ;0.078          ;VANILLIN       ;F-25           ;NA             ; 0.35886349    
 2             ;10.350         ; 1850627.64    ; 17.41         ; 2.65          ; 189644.36     ;0.350          ;0.150          ;FURFURAL       ;F-26           ;NA             ; 1.61331164    
40             ;20.510         ; 1101772.24    ; 10.36         ; 1.58          ; 239921.39     ;0.170          ;0.070          ;VANILLIN       ;F-26           ;NA             ; 0.86445624    
 6             ;10.390         ; 2596636.17    ; 39.96         ; 4.60          ; 495942.84     ;0.240          ;0.080          ;FURFURAL       ;F-27           ;NA             ; 2.35932017    
13             ;11.900         ; 1189248.17    ; 18.30         ; 2.11          ; 236274.09     ;0.280          ;0.060          ;5METHYLFURFURAL;F-27           ;NA             ; 0.95193217    
65             ;20.510         ;  725626.57    ; 11.17         ; 1.28          ; 274600.54     ;0.080          ;0.040          ;VANILLIN       ;F-27           ;NA             ; 0.48831057    
 5             ;10.390         ; 2745856.78    ; 21.62         ; 3.78          ; 540479.70     ;0.200          ;0.080          ;FURFURAL       ;F-28           ;NA             ; 2.50854078    
11             ;11.900         ; 2119018.07    ; 16.68         ; 2.92          ; 467665.63     ;0.270          ;0.060          ;5METHYLFURFURAL;F-28           ;NA             ; 1.88170207    
59             ;20.510         ; 1023661.49    ;  8.06         ; 1.41          ; 367650.44     ;0.080          ;0.050          ;VANILLIN       ;F-28           ;NA             ; 0.78634549    
 5             ;10.419         ; 1563992.27    ; 22.82         ; 2.99          ; 206833.09     ;0.285          ;0.120          ;FURFURAL       ;F-29           ;NA             ; 1.32667627    
 9             ;11.875         ; 1400141.43    ; 20.43         ; 2.67          ; 163255.79     ;0.350          ;0.126          ;5METHYLFURFURAL;F-29           ;NA             ; 1.16282543    
48             ;20.529         ;  959576.75    ; 14.00         ; 1.83          ; 229312.71     ;0.156          ;0.060          ;VANILLIN       ;F-29           ;NA             ; 0.72226075    
 4             ;10.385         ; 1242387.51    ; 16.00         ; 1.96          ; 258250.13     ;0.184          ;0.077          ;FURFURAL       ;F-3            ;NA             ; 1.00507151    
 8             ;11.887         ;  670833.66    ;  8.64         ; 1.06          ; 135141.36     ;0.099          ;0.099          ;5METHYLFURFURAL;F-3            ;NA             ; 0.43351766    
46             ;20.533         ; 1226287.89    ; 15.80         ; 1.93          ; 287116.00     ;0.133          ;0.068          ;VANILLIN       ;F-3            ;NA             ; 0.98897189    
 5             ;10.378         ; 2214947.36    ; 30.85         ; 3.74          ; 481337.45     ;0.144          ;0.076          ;FURFURAL       ;F-30           ;NA             ; 1.97763136    
12             ;11.914         ; 2737073.43    ; 38.12         ; 4.63          ; 623612.74     ;0.281          ;0.062          ;5METHYLFURFURAL;F-30           ;NA             ; 2.49975743    
54             ;20.517         ;  712459.33    ;  9.92         ; 1.20          ; 277611.62     ;0.068          ;0.041          ;VANILLIN       ;F-30           ;NA             ; 0.47514333    
 5             ;10.408         ;  495811.55    ;  8.17         ; 1.09          ;  69353.71     ;0.217          ;0.124          ;FURFURAL       ;F-4            ;NA             ; 0.25849555    
10             ;11.910         ;  906781.84    ; 14.93         ; 1.99          ; 170376.28     ;0.175          ;0.094          ;5METHYLFURFURAL;F-4            ;NA             ; 0.66946584    
 3             ;10.465         ;  497463.78    ;  5.20         ; 0.76          ; 277529.97     ;0.057          ;0.027          ;FURFURAL       ;F-5            ;NA             ; 0.26014778    
 9             ;11.917         ; 1402567.35    ; 14.65         ; 2.14          ; 197804.77     ;0.190          ;0.118          ;5METHYLFURFURAL;F-5            ;NA             ; 1.16525135    
49             ;20.544         ; 1159729.56    ; 12.11         ; 1.77          ; 315247.30     ;0.160          ;0.047          ;VANILLIN       ;F-5            ;NA             ; 0.92241356    
 6             ;10.408         ; 3188190.70    ; 35.29         ; 3.99          ; 702930.26     ;0.154          ;0.074          ;FURFURAL       ;F-6            ;NA             ; 2.95087470    
12             ;11.948         ; 2186520.39    ; 24.20         ; 2.74          ; 505429.71     ;0.276          ;0.059          ;5METHYLFURFURAL;F-6            ;NA             ; 1.94920439    
42             ;18.271         ;  788637.62    ;  8.73         ; 0.99          ; 148768.10     ;0.209          ;0.074          ;EUGENOL        ;F-6            ; 0.55132162    ; 0.55132162    
57             ;20.548         ; 1527144.64    ; 16.90         ; 1.91          ; 477777.48     ;0.080          ;0.062          ;VANILLIN       ;F-6            ;NA             ; 1.28982864    
 6             ;10.420         ; 4089885.98    ; 22.17         ; 4.72          ; 929983.90     ;0.140          ;0.070          ;FURFURAL       ;F-7            ;NA             ; 3.85256998    
12             ;11.960         ; 2059962.13    ; 11.17         ; 2.38          ; 453495.89     ;0.280          ;0.060          ;5METHYLFURFURAL;F-7            ;NA             ; 1.82264613    
57             ;20.560         ;  751317.07    ;  4.07         ; 0.87          ; 311590.96     ;0.080          ;0.040          ;VANILLIN       ;F-7            ;NA             ; 0.51400107    
 6             ;10.400         ; 3287846.68    ; 26.85         ; 4.04          ; 705444.71     ;0.147          ;0.076          ;FURFURAL       ;F-8            ;NA             ; 3.05053068    
12             ;11.944         ; 2654257.46    ; 21.67         ; 3.26          ; 582313.03     ;0.278          ;0.064          ;5METHYLFURFURAL;F-8            ;NA             ; 2.41694146    
67             ;22.533         ; 1027209.18    ;  8.39         ; 1.26          ; 228917.60     ;0.122          ;0.093          ;VANILLIN       ;F-8            ;NA             ; 0.78989318    
 7             ;10.420         ; 1751204.76    ; 14.71         ; 2.30          ; 430444.93     ;0.120          ;0.070          ;FURFURAL       ;F-9            ;NA             ; 1.51388876    
13             ;11.960         ; 1390901.37    ; 11.68         ; 1.83          ; 374655.53     ;0.160          ;0.060          ;5METHYLFURFURAL;F-9            ;NA             ; 1.15358537    
69             ;20.560         ; 2075532.27    ; 17.43         ; 2.73          ; 522529.37     ;0.130          ;0.050          ;VANILLIN       ;F-9            ;NA             ; 1.83821627    
 6             ;10.490         ; 3131101.30    ;  3.18         ; 1.79          ; 862265.58     ;0.150          ;0.060          ;FURFURAL       ;R-1            ;NA             ; 2.89378530    
11             ;12.010         ;  182909.46    ;  0.19         ; 0.10          ;  69558.30     ;0.110          ;0.040          ;5METHYLFURFURAL;R-1            ;NA             ;-0.05440654    
 2             ;10.393         ; 5562826.73    ; 48.01         ;11.92          ; 324793.68     ;0.681          ;0.247          ;FURFURAL       ;R-10           ;NA             ; 5.32551073    
 6             ;11.955         ;  918855.15    ;  7.93         ; 1.97          ; 138115.85     ;0.167          ;0.116          ;5METHYLFURFURAL;R-10           ;NA             ; 0.68153915    
46             ;20.521         ;  691540.90    ;  5.97         ; 1.48          ; 224045.63     ;0.095          ;0.047          ;VANILLIN       ;R-10           ;NA             ; 0.45422490    
 7             ;10.450         ; 3281132.57    ; 27.24         ; 5.77          ; 771863.84     ;0.150          ;0.070          ;FURFURAL       ;R-11           ;NA             ; 3.04381657    
14             ;11.970         ;  355088.23    ;  2.95         ; 0.62          ;  95814.15     ;0.130          ;0.060          ;5METHYLFURFURAL;R-11           ;NA             ; 0.11777223    
 6             ;10.460         ; 4079954.24    ; 65.82         ; 9.00          ; 962194.39     ;0.220          ;0.070          ;FURFURAL       ;R-12           ;NA             ; 3.84263824    
12             ;11.970         ;  352567.81    ;  5.69         ; 0.78          ; 106869.00     ;0.120          ;0.050          ;5METHYLFURFURAL;R-12           ;NA             ; 0.11525181    
57             ;20.560         ;  595859.65    ;  9.61         ; 1.31          ; 348406.58     ;0.050          ;0.030          ;VANILLIN       ;R-12           ;NA             ; 0.35854365    
 7             ;10.470         ; 3850726.54    ; 24.73         ; 6.62          ; 800180.26     ;0.210          ;0.070          ;FURFURAL       ;R-13           ;NA             ; 3.61341054    
13             ;11.980         ;  293093.43    ;  1.88         ; 0.50          ;  79871.70     ;0.120          ;0.060          ;5METHYLFURFURAL;R-13           ;NA             ; 0.05577743    
42             ;18.300         ;  124498.58    ;  0.80         ; 0.21          ;  34059.01     ;0.130          ;0.060          ;EUGENOL        ;R-13           ;-0.11281742    ;-0.11281742    
57             ;20.570         ; 1074157.44    ;  6.90         ; 1.85          ; 370637.64     ;0.090          ;0.040          ;VANILLIN       ;R-13           ;NA             ; 0.83684144    
 8             ;10.460         ; 3290089.78    ; 26.85         ; 5.60          ; 789822.38     ;0.190          ;0.070          ;FURFURAL       ;R-14           ;NA             ; 3.05277378    
14             ;11.980         ;  337226.92    ;  2.75         ; 0.57          ; 107540.55     ;0.110          ;0.050          ;5METHYLFURFURAL;R-14           ;NA             ; 0.09991092    
 2             ;10.400         ; 2336275.43    ; 28.59         ; 7.36          ; 372177.10     ;0.264          ;0.099          ;FURFURAL       ;R-15           ;NA             ; 2.09895943    
 6             ;11.876         ;   91783.78    ;  1.12         ; 0.29          ;  29587.42     ;0.095          ;0.046          ;5METHYLFURFURAL;R-15           ;NA             ;-0.14553222    
40             ;20.506         ;  716981.85    ;  8.77         ; 2.26          ; 243526.29     ;0.103          ;0.042          ;VANILLIN       ;R-15           ;NA             ; 0.47966585    
 7             ;10.511         ; 1172865.09    ;  1.01         ; 0.53          ; 330253.88     ;0.147          ;0.055          ;FURFURAL       ;R-16           ;NA             ; 0.93554909    
12             ;12.020         ;  224193.96    ;  0.19         ; 0.10          ;  87352.02     ;0.099          ;0.040          ;5METHYLFURFURAL;R-16           ;NA             ;-0.01312204    
28             ;20.586         ;  481587.04    ;  0.41         ; 0.22          ; 346198.05     ;0.053          ;0.022          ;VANILLIN       ;R-16           ;NA             ; 0.24427104    
10             ;10.488         ; 2397388.30    ;  3.26         ; 1.38          ; 681536.91     ;0.137          ;0.056          ;FURFURAL       ;R-17           ;NA             ; 2.16007230    
17             ;12.012         ;  277213.30    ;  0.38         ; 0.16          ; 104563.18     ;0.117          ;0.041          ;5METHYLFURFURAL;R-17           ;NA             ; 0.03989730    
45             ;20.586         ;  524638.29    ;  0.71         ; 0.30          ; 357123.84     ;0.063          ;0.023          ;VANILLIN       ;R-17           ;NA             ; 0.28732229    
 6             ;10.370         ; 4612104.55    ; 82.51         ;13.03          ; 959177.64     ;0.170          ;0.080          ;FURFURAL       ;R-18           ;NA             ; 4.37478855    
49             ;20.510         ; 1051055.35    ; 18.80         ; 2.97          ; 430960.76     ;0.110          ;0.040          ;VANILLIN       ;R-18           ;NA             ; 0.81373935    
 6             ;10.389         ; 6544243.20    ; 87.28         ;12.69          ;1368884.57     ;0.181          ;0.077          ;FURFURAL       ;R-19           ;NA             ; 6.30692720    
13             ;11.921         ;  930215.94    ; 12.41         ; 1.80          ; 192388.04     ;0.156          ;0.068          ;5METHYLFURFURAL;R-19           ;NA             ; 0.69289994    
59             ;20.525         ; 2008414.47    ; 26.78         ; 3.89          ; 652974.91     ;0.103          ;0.043          ;VANILLIN       ;R-19           ;NA             ; 1.77109847    
 8             ;10.446         ; 2417159.27    ; 17.82         ; 4.54          ; 573536.03     ;0.152          ;0.068          ;FURFURAL       ;R-2            ;NA             ; 2.17984327    
15             ;11.978         ;  186784.63    ;  1.38         ; 0.35          ;  69993.02     ;0.088          ;0.046          ;5METHYLFURFURAL;R-2            ;NA             ;-0.05053137    
57             ;20.574         ;  172090.40    ;  1.27         ; 0.32          ; 130202.91     ;0.038          ;0.023          ;VANILLIN       ;R-2            ;NA             ;-0.06522560    
 2             ;10.390         ; 3508402.15    ; 52.65         ; 9.36          ; 653880.02     ;0.260          ;0.080          ;FURFURAL       ;R-20           ;NA             ; 3.27108615    
48             ;20.510         ; 1119012.00    ; 16.79         ; 2.98          ; 430073.70     ;0.070          ;0.040          ;VANILLIN       ;R-20           ;NA             ; 0.88169600    
 5             ;10.410         ; 3019089.83    ; 35.85         ; 8.20          ; 464893.24     ;0.300          ;0.100          ;FURFURAL       ;R-21           ;NA             ; 2.78177383    
52             ;20.510         ;  559433.79    ;  6.64         ; 1.52          ; 265932.93     ;0.070          ;0.030          ;VANILLIN       ;R-21           ;NA             ; 0.32211779    
12             ;10.484         ; 3474751.14    ;  4.75         ; 2.07          ; 995569.42     ;0.137          ;0.055          ;FURFURAL       ;R-22           ;NA             ; 3.23743514    
19             ;12.009         ;  199469.50    ;  0.27         ; 0.12          ;  78371.07     ;0.109          ;0.038          ;5METHYLFURFURAL;R-22           ;NA             ;-0.03784650    
55             ;20.582         ;  440086.50    ;  0.60         ; 0.26          ; 388593.44     ;0.034          ;0.019          ;VANILLIN       ;R-22           ;NA             ; 0.20277050    
 4             ;10.430         ;  660748.13    ;  8.20         ; 2.25          ;  92367.45     ;0.240          ;0.120          ;FURFURAL       ;R-23           ;NA             ; 0.42343213    
 5             ;10.370         ; 2975666.26    ; 54.93         ; 8.17          ; 613903.83     ;0.170          ;0.080          ;FURFURAL       ;R-24           ;NA             ; 2.73835026    
 9             ;11.900         ;  472262.78    ;  8.72         ; 1.30          ;  88479.86     ;0.240          ;0.070          ;5METHYLFURFURAL;R-24           ;NA             ; 0.23494678    
48             ;20.510         ;  716704.48    ; 13.23         ; 1.97          ; 291799.17     ;0.100          ;0.040          ;VANILLIN       ;R-24           ;NA             ; 0.47938848    
 6             ;10.366         ; 2778867.92    ; 52.38         ; 7.98          ; 617322.52     ;0.154          ;0.072          ;FURFURAL       ;R-25           ;NA             ; 2.54155192    
